,ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,CL
234,9,-62.936842,1.231324,35.07,2121943.25,1
235,9,-4.9495,1.230684,35.07,2174278.625,1
236,9,24.41,1.242853,35.07,2153199.25,1
237,9,-18.149474,1.237729,35.07,2140418.857143,1
238,9,-48.818947,1.240291,35.07,2124048.5,1
239,9,14.826842,1.233886,35.05,2108681.142857,1
240,9,0.854,1.233886,35.05,2102411.5,1
241,9,-32.514211,1.227481,35.05,2192023.875,1
242,9,20.416842,1.231324,35.05,2180666.714286,1
243,9,16.533,1.231965,35.05,2175692.125,1
244,9,-7.292105,1.230043,35.05,2161695.0,1
245,9,15.849474,1.235167,35.05,2150849.125,1
246,9,-22.615789,1.232605,35.05,2140969.428571,1
247,9,-12.496316,1.226201,35.05,2143242.5,1
248,9,14.9135,1.234527,35.05,2171188.625,1
249,9,-4.755263,1.241572,35.05,2178237.857143,1
250,9,31.991579,1.233886,35.03,2129673.857143,1
251,9,-11.045789,1.231324,35.03,2120886.5,1
252,9,-22.8735,1.230684,35.03,2107146.428571,1
253,9,27.297368,1.222358,35.03,2108176.875,1
254,9,-20.4435,1.229402,35.03,2147750.142857,1
255,9,2.786316,1.222358,35.0,2127075.625,1
256,9,-0.960526,1.232605,35.0,2178598.875,1
257,9,-30.5915,1.240932,35.0,2154911.0,1
258,9,-12.416842,1.23901,35.0,2145153.25,1
259,9,21.061579,1.233886,35.0,2121892.875,1
260,9,-22.115,1.232605,35.0,2172248.285714,1
261,9,11.014737,1.235167,35.0,2143908.25,1
262,9,-22.111053,1.235167,35.0,2132822.571429,1
263,9,-19.341579,1.226201,35.0,2108530.0,1
264,9,28.314,1.226201,35.0,2095700.0,1
265,9,44.666316,1.227481,34.99,2133454.375,1
266,9,-40.212632,1.22492,34.99,2105063.428571,1
267,9,2.804737,1.237729,34.97,2084332.571429,1
268,9,32.932632,1.227481,34.97,2063659.142857,1
269,9,63.594737,1.230043,34.97,2112594.625,1
270,9,-22.125,1.235167,34.97,2102654.428571,1
271,9,-4.899474,1.246696,34.97,2065537.285714,1
272,9,58.091,1.234527,34.97,2058577.375,1
273,9,24.228421,1.232605,34.97,2089782.142857,1
274,9,-17.258421,1.232605,34.97,2101008.125,1
275,9,50.616842,1.231324,34.97,2113399.857143,1
276,9,15.704737,1.231324,34.95,2097453.875,1
277,9,-72.394,1.237729,34.95,2086426.285714,1
278,9,-11.427368,1.242853,34.95,2083484.875,1
